ligand,receptor,source,target,ligand_expr,receptor_expr,score,pvalue
ICAM1,ITGAL,8,3,1.2267441860465116,0.6337719298245614,0.7774760301917585,0.001996007984031936
VEGFA,KDR,4,6,4.139896373056994,0.18666666666666668,0.7727806563039723,0.011976047904191617
ANGPT1,TEK,5,8,0.5145985401459854,1.494186046511628,0.7689059582413851,0.001996007984031936
VEGFA,KDR,9,5,2.3285714285714287,0.3284671532846715,0.764859228362878,0.027944111776447105
C3,C3AR1,3,3,1.6842105263157894,0.45394736842105265,0.7645429362880887,0.003992015968063872
CD34,SELL,8,5,2.197674418604651,0.34306569343065696,0.7539466983534205,0.001996007984031936
TGFB1,TGFBR1,1,4,0.48,1.5647668393782384,0.7510880829015544,0.001996007984031936
CXCL10,CXCR3,9,4,5.9071428571428575,0.12694300518134716,0.7498704663212437,0.001996007984031936
EGF,EGFR,4,5,1.9378238341968912,0.38686131386861317,0.7496690745433229,0.001996007984031936
TNF,TNFRSF1A,9,9,0.29285714285714287,2.557142857142857,0.7488775510204081,0.001996007984031936
VEGFA,KDR,8,1,7.843023255813954,0.094,0.7372441860465117,0.00998003992015968
EGF,EGFR,4,9,1.9378238341968912,0.37857142857142856,0.7336047372316802,0.001996007984031936
VEGFA,KDR,2,9,0.8805970149253731,0.8285714285714286,0.7296375266524521,0.031936127744510975
EGF,EGFR,5,1,1.3576642335766422,0.534,0.7249927007299269,0.001996007984031936
C3,C3AR1,9,2,3.5357142857142856,0.2046908315565032,0.7237282972890648,0.013972055888223553
CXCL10,CXCR3,1,3,4.518,0.1600877192982456,0.7232763157894736,0.001996007984031936
CXCL10,CXCR3,9,1,5.9071428571428575,0.12,0.7088571428571429,0.001996007984031936
TGFB1,TGFBR1,1,9,0.48,1.4714285714285715,0.7062857142857143,0.001996007984031936
CD34,SELL,4,4,1.349740932642487,0.5207253886010362,0.7028443716609841,0.001996007984031936
PDGFB,PDGFRB,8,10,0.9302325581395349,0.7536231884057971,0.7010448264239973,0.001996007984031936
TGFB1,TGFBR2,1,6,0.48,1.4444444444444444,0.6933333333333332,0.015968063872255488
TGFB1,TGFBR2,9,1,0.3,2.282,0.6846,0.04790419161676647
PDGFB,PDGFRB,8,9,0.9302325581395349,0.7357142857142858,0.6843853820598007,0.001996007984031936
HGF,MET,4,9,0.4119170984455959,1.6571428571428573,0.6826054774241304,0.001996007984031936
PDGFB,PDGFRB,4,1,0.7849740932642487,0.864,0.6782176165803109,0.001996007984031936
TGFB1,TGFBR2,1,3,0.48,1.3969298245614035,0.6705263157894736,0.003992015968063872
IFNG,IFNGR1,9,9,0.3,2.2285714285714286,0.6685714285714286,0.001996007984031936
PDGFA,PDGFRA,4,4,0.42487046632124353,1.5647668393782384,0.6648232167306505,0.001996007984031936
