ligand,receptor,source,target,ligand_expr_ctrl,receptor_expr_ctrl,score_ctrl,key,score_rej,ligand_expr_rej,receptor_expr_rej,log2FC
CXCL11,CXCR3,4,3,0.1590909090909091,0.0,0.0,CXCL11_CXCR3_4_3,0.12107902977548964,0.7530120481927711,0.16079295154185022,6.931671591269735
TNF,TNFRSF1A,10,2,0.0,0.0,0.0,TNF_TNFRSF1A_10_2,0.12052615478739676,0.14285714285714285,0.8436830835117773,6.925123032999224
TNF,TNFRSF1A,5,2,0.14606741573033707,0.0,0.0,TNF_TNFRSF1A_5_2,0.12052615478739676,0.14285714285714285,0.8436830835117773,6.925123032999224
FGF2,FGFR1,2,4,0.0,1.5954545454545455,0.0,FGF2_FGFR1_2_4,0.1184695957276644,0.11991434689507495,0.9879518072289156,6.900499697737929
CCL5,CCR5,3,10,0.0,0.041666666666666664,0.0,CCL5_CCR5_3_10,0.11705475141598488,2.458149779735683,0.047619047619047616,6.883312297468611
TGFB1,TGFBR2,2,6,0.0,2.3333333333333335,0.0,TGFB1_TGFBR2_2_6,0.11655767116152556,0.08137044967880086,1.4324324324324325,6.877224874113108
CXCL10,CXCR3,2,3,0.0,0.0,0.0,CXCL10_CXCR3_2_3,0.11568829061683442,0.7194860813704497,0.16079295154185022,6.866515987181721
TNF,TNFRSF1A,10,10,0.0,0.22916666666666666,0.0,TNF_TNFRSF1A_10_10,0.11564625850340135,0.14285714285714285,0.8095238095238095,6.865996222556272
BMP7,BMPR2,10,6,0.0,1.0,0.0,BMP7_BMPR2_10_6,0.11518661518661517,0.14285714285714285,0.8063063063063063,6.860300068189042
C3,C3AR1,2,4,0.0,0.41818181818181815,0.0,C3_C3AR1_2_4,0.11340006707773277,0.31905781584582443,0.35542168674698793,6.837944087806098
BMP4,BMPR1A,10,3,0.14583333333333334,0.0,0.0,BMP4_BMPR1A_10_3,0.1132787916928886,0.42857142857142855,0.2643171806167401,6.836413877154881
PDGFB,PDGFRB,3,6,0.0,0.0,0.0,PDGFB_PDGFRB_3_6,0.11307893796880582,0.28854625550660795,0.3918918918918919,6.833888645793733
EGF,EGFR,3,4,0.0,1.1772727272727272,0.0,EGF_EGFR_3_4,0.11297171063107053,0.1894273127753304,0.5963855421686747,6.832531961559346
BMP7,BMPR2,10,3,0.0,1.0,0.0,BMP7_BMPR2_10_3,0.11233480176211454,0.14285714285714285,0.7863436123348018,6.824447127897689
TNF,TNFRSF1A,4,2,0.2318181818181818,0.0,0.0,TNF_TNFRSF1A_4_2,0.11181342070638013,0.13253012048192772,0.8436830835117773,6.817794896117876
TGFB1,TGFBR2,2,3,0.0,7.0,0.0,TGFB1_TGFBR2_2_3,0.11166033072663642,0.08137044967880086,1.3722466960352422,6.815835801659017
TNF,TNFRSF1A,10,6,0.0,2.0,0.0,TNF_TNFRSF1A_10_6,0.11068211068211067,0.14285714285714285,0.7747747747747747,6.80325430221071
B2M,CD8A,5,2,2.337078651685393,0.0,0.0,B2M_CD8A_5_2,0.1064545732639951,1.7142857142857142,0.06209850107066381,6.747583074912527
CXCL9,CXCR3,2,3,0.0,0.0,0.0,CXCL9_CXCR3_2_3,0.1063919101208388,0.6616702355460385,0.16079295154185022,6.746741508348185
